06-Aug-2020 (22:33:39): Epoch: [2][80/468]	Time 0.051 (0.049)	Data 0.001 (0.003)	Loss 1.4684 (1.5638)	Acc@1 52.344 (44.242) Acc@5 89.844 (89.246)	
06-Aug-2020 (22:33:39): Epoch: [2][90/468]	Time 0.051 (0.050)	Data 0.002 (0.003)	Loss 1.5121 (1.5616)	Acc@1 46.875 (44.583) Acc@5 88.281 (89.277)	
06-Aug-2020 (22:33:40): Epoch: [2][100/468]	Time 0.051 (0.050)	Data 0.002 (0.003)	Loss 1.5418 (1.5583)	Acc@1 49.219 (44.663) Acc@5 86.719 (89.287)	
06-Aug-2020 (22:33:40): Epoch: [2][110/468]	Time 0.051 (0.050)	Data 0.002 (0.003)	Loss 1.5921 (1.5608)	Acc@1 43.750 (44.552) Acc@5 87.500 (89.168)	
06-Aug-2020 (22:33:41): Epoch: [2][120/468]	Time 0.051 (0.050)	Data 0.002 (0.003)	Loss 1.6737 (1.5624)	Acc@1 50.000 (44.706) Acc@5 86.719 (89.082)	
06-Aug-2020 (22:33:41): Epoch: [2][130/468]	Time 0.052 (0.050)	Data 0.002 (0.003)	Loss 1.5136 (1.5614)	Acc@1 48.438 (44.651) Acc@5 92.188 (89.110)	
06-Aug-2020 (22:33:42): Epoch: [2][140/468]	Time 0.051 (0.050)	Data 0.002 (0.003)	Loss 1.5306 (1.5583)	Acc@1 37.500 (44.681) Acc@5 89.062 (89.179)	
06-Aug-2020 (22:33:42): Epoch: [2][150/468]	Time 0.051 (0.050)	Data 0.001 (0.003)	Loss 1.4749 (1.5540)	Acc@1 52.344 (44.811) Acc@5 92.188 (89.254)	
06-Aug-2020 (22:33:43): Epoch: [2][160/468]	Time 0.052 (0.050)	Data 0.001 (0.003)	Loss 1.6622 (1.5537)	Acc@1 41.406 (44.730) Acc@5 87.500 (89.320)	
06-Aug-2020 (22:33:43): Epoch: [2][170/468]	Time 0.051 (0.050)	Data 0.001 (0.003)	Loss 1.5449 (1.5531)	Acc@1 42.969 (44.746) Acc@5 87.500 (89.277)	
06-Aug-2020 (22:33:44): Epoch: [2][180/468]	Time 0.052 (0.051)	Data 0.001 (0.003)	Loss 1.3916 (1.5532)	Acc@1 51.562 (44.764) Acc@5 91.406 (89.291)	
06-Aug-2020 (22:33:44): Epoch: [2][190/468]	Time 0.051 (0.051)	Data 0.002 (0.003)	Loss 1.4556 (1.5506)	Acc@1 48.438 (44.789) Acc@5 92.188 (89.463)	
06-Aug-2020 (22:33:45): Epoch: [2][200/468]	Time 0.051 (0.051)	Data 0.001 (0.003)	Loss 1.5552 (1.5516)	Acc@1 46.875 (44.718) Acc@5 90.625 (89.513)	
06-Aug-2020 (22:33:45): Epoch: [2][210/468]	Time 0.052 (0.051)	Data 0.002 (0.002)	Loss 1.6292 (1.5522)	Acc@1 42.969 (44.709) Acc@5 86.719 (89.473)	
06-Aug-2020 (22:33:46): Epoch: [2][220/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.5595 (1.5520)	Acc@1 44.531 (44.669) Acc@5 88.281 (89.490)	
06-Aug-2020 (22:33:46): Epoch: [2][230/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.5076 (1.5512)	Acc@1 41.406 (44.646) Acc@5 92.188 (89.482)	
06-Aug-2020 (22:33:47): Epoch: [2][240/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.6639 (1.5530)	Acc@1 35.938 (44.557) Acc@5 85.938 (89.464)	
06-Aug-2020 (22:33:47): Epoch: [2][250/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.6287 (1.5529)	Acc@1 38.281 (44.562) Acc@5 86.719 (89.452)	
